key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-401776398,The First Step of Single-Use Plastics Reduction in Thailand,2023,1,,SUSTAINABILITY,,15,1,,"Sedtha, Salinda and Nitivattananon, Vilas and Ahmad, Mokbul Morshed and Cruz, Simon Guerrero",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/su15010045,ban; CSR; policy approaches; reduction; single-use plastics; stakeholders' participation,,,""
rayyan-401776399,Applying Material Flow Analysis for Sustainable Waste Management of Single-Use Plastics and Packaging Materials in the Republic of Korea,2024,8,,SUSTAINABILITY,,16,16,,"Choi, Hyeong-Jin and Hwang, Donggun and Yoon, Young-Sam and Jeon, Tae-Wan and Rhee, Seung-Whee",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/su16166926,material flow analysis; single-use plastics; packaging material; sustainable waste management; pl...,,,""
rayyan-401776400,Is reusable packaging an environmentally friendly alternative to the single-use plastic bag? A case study of express delivery packaging in China,2023,3,,RESOURCES CONSERVATION AND RECYCLING,0921-3449,190,,,"Tan, Quanyin and Yang, Liyao and Wei, Fan and Chen, Yuan and Li, Jinhui",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.resconrec.2022.106863,Plastic pollution; Single-use plastic; Plastic delivery packaging; Reusable delivery box; Life cy...,,,""
rayyan-401776401,"Enhancing water resistance and mechanical properties of starch-based edible biofilms through chitosan, seaweed, and sodium tripolyphosphate modifications",2024,10,,POLYMER ENGINEERING AND SCIENCE,0032-3888,64,10,5176-5185,"Le, Thu Ha and Dinh, Duc Anh and Le, My Tra and Le, Thang Van and Bui, Van-Tien",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1002/pen.26911,biofilm; chitosan; edible; renewable; seaweed; starch,,,""
rayyan-401776402,"Investigating students' perceptions of single-use plastics at the University of the Witwatersrand, South Africa",2024,7,,SOUTH AFRICAN GEOGRAPHICAL JOURNAL,0373-6245,106,3,340-360,"van Heyde, Kyle Daniel and Butcher, Sian",,English,"ROUTLEDGE JOURNALS, TAYLOR \& FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",,"",10.1080/03736245.2024.2315948,Wits University; plastic pollution; pro-environmental behaviour; waste management; South Africa,,,""
rayyan-401776403,"Social traps and the wicked problem of single-use plastics: A marketing, policy, and consumer-citizen perspective",2024,12,,JOURNAL OF CONSUMER AFFAIRS,0022-0078,58,4,1193-1211,"Shultz, Clifford J. and Mason, Marlys J. and Fehl, Amy Greiner and Baker, Stacey Menzel and Barakat, Karine Aoun and Bone, Sterling A. and Thomas, Meredith Rhoads",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1111/joca.12609,plastic waste; single-use plastic; social traps; sustainability; wicked problems,,,""
rayyan-401776404,Single-use plastic bag alternatives result in higher environmental impacts: Multi-regional analysis in country with uneven waste management,2023,11,,WASTE MANAGEMENT,0956-053X,171,,281-291,"Tan, Yiqi and Wen, Zongguo and Hu, Yupeng and Zeng, Xianlai and Kosajan, Vorada and Yin, Ge and Zhang, Tingting",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.wasman.2023.08.040,Single -use plastics; Banning policy; Alternatives substitution; Life cycle assessment; Table dis...,,,""
rayyan-401776405,What potential does the EU Single-Use Plastics Directive have for reducing plastic pollution at coastlines and riversides? An evaluation based on citizen science data,2023,6,,WASTE MANAGEMENT,0956-053X,164,,106-118,"Kiessling, Tim and Hinzmann, Mandy and Mederake, Linda and Dittmann, Sinja and Brennecke, Dennis and Boehm-Beck, Marianne and Knickmeier, Katrin and Thiel, Martin",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.wasman.2023.03.042,Single -use plastics; Plastic pollution; Citizen science; EU legislation; EU Directive 2019; 904,,,""
rayyan-401776406,Malaysian and Libyan Perspectives on Single-Use Plastic's Environmental Impact During the Pandemic COVID-19: A Pilot Study,2023,,,INTERNATIONAL JOURNAL OF INTEGRATED ENGINEERING,2229-838X,15,2,283-293,"Zreba, Kamal Yousef Ali and Izhar, Tengku Nuraiti Tengku and Saad, Farah Naemah Mohd and Zakarya, Irnis Azura and Hwidi, Rajeb Salem A.",,English,UNIV TUN HUSSEIN ONN MALAYSIA,"86400 PARIT RAJA, BATU PAHAT, JOHOR, 00000, MALAYSIA",,"",10.30880/ijie.2023.15.02.028,Waste management; single use plastic; environmental impact; Cronbach's alpha; COVID-19,,,""
rayyan-401776407,Is environmental consciousness associated with organic food consumption?: A revealed preference approach,2024,6,,JOURNAL OF THE AGRICULTURAL AND APPLIED ECONOMICS ASSOCIATION,,3,2,396-409,"Yoon, Sungeun and House, Lisa and Gao, Zhifeng and Grogan, Kelly and Mullally, Conner",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1002/jaa2.119,environmental concern; organic food drivers; scanner data; single-use plastics consumption determ...,,,""
